track_id,part_song,chord_absolute,roman_numeral,start_time,end_time,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11
st12-jangan_pernah_berubah,intro,Dm,vi,0.487619048,3.529433107,-230.49028,173.14317,-28.657156,24.043367,7.459844,2.761286,7.1083865,-0.6616106,-1.9620782,4.9625773,8.295362,3.4903722,-7.2248464,81.58787,38.068066,14.864918,11.516274,12.830524,5.178296,6.9607983,5.21266,4.131659,6.5278144,3.875361,5.754947,6.0387945,0.1667323,0.22703372,0.27591088,0.26779655,0.45463604,0.61988807,0.18644704,0.12959717,0.2839047,0.32944,0.20872521,0.1427885,0.19560203,0.25899193,0.3256365,0.25272137,0.33520472,0.37506407,0.10378501,0.15995881,0.32294092,0.37248468,0.2481719,0.15467343
st12-jangan_pernah_berubah,intro,Dm,vi,3.529433107,6.640907029,-232.69452,184.45216,-25.626188,20.291859,8.269847,3.16379,4.0675097,-3.7409685,0.8539179,8.175277,4.100931,-2.964274,-8.751935,60.789143,21.698038,15.22123,8.814904,12.207845,5.5440664,6.245421,5.885358,5.569677,4.1774077,3.4684653,5.916235,5.219399,0.12221691,0.1853856,0.24556991,0.17649713,0.1378441,0.39534453,0.21815991,0.5484113,0.3420393,0.31379455,0.19654134,0.11479957,0.17398068,0.24773742,0.31974414,0.232819,0.11251392,0.42131025,0.04623023,0.41447073,0.3125163,0.39459214,0.26015183,0.14608708
st12-jangan_pernah_berubah,intro,Dm,vi,6.640907029,9.868480726,-10.685523,92.9644,-9.124819,30.324518,14.483878,5.899613,6.604182,9.087804,-2.036646,-0.89837015,-1.307628,6.58704,-1.4700567,55.367516,17.592031,13.21387,8.074705,7.521136,5.1987205,7.642882,7.0164704,5.654754,5.7222166,5.1518974,5.0778975,4.8167343,0.23678899,0.44072577,0.51325774,0.42050722,0.5954343,0.51170254,0.18160811,0.19481286,0.32716462,0.6617779,0.3339137,0.26817387,0.14429605,0.2799403,0.23863806,0.17030025,0.28982067,0.34364307,0.13239366,0.2095229,0.14323299,0.28299308,0.16080962,0.26890755
st12-jangan_pernah_berubah,intro,Gm,ii,9.868480726,12.910294785,-1.268563,87.88593,-4.118583,29.5976,12.850832,5.70534,2.0889847,4.4603696,-5.934522,-6.1300235,-3.2107327,1.3376067,-8.211526,31.796068,12.001852,11.276157,7.093064,8.004124,6.9963903,7.398895,6.6115446,6.2927933,5.557116,5.343207,5.896284,5.705611,0.14255962,0.37735134,0.7357379,0.285467,0.16873153,0.21924435,0.23566411,0.6470105,0.33341667,0.3158534,0.34138063,0.14455318,0.124850616,0.17591932,0.28909588,0.12646891,0.1525402,0.2355652,0.14356837,0.34161457,0.21436915,0.2671318,0.31864402,0.13567534
st12-jangan_pernah_berubah,intro,Dm,vi,12.910294785,16.091428571,2.3663895,88.55433,-9.967531,33.44366,15.218797,2.3640223,7.472633,9.455343,-0.37463084,-0.7222711,-0.18176278,7.7316647,0.33721578,23.085411,9.712694,11.685621,7.219633,8.075542,4.9687243,7.1720877,4.768302,5.22602,5.724339,5.2113066,4.9363437,4.237126,0.245655,0.44971916,0.50312954,0.45902675,0.69481033,0.558536,0.19074714,0.1715841,0.3023679,0.6138742,0.3215331,0.2009048,0.16446017,0.26729527,0.1997487,0.18240166,0.2973024,0.30612737,0.14268373,0.14505532,0.15368465,0.29956648,0.17359598,0.15779494
st12-jangan_pernah_berubah,intro,Gm,ii,16.091428571,19.063582766,-12.400613,86.527725,-2.4512014,31.137634,13.71482,5.135326,1.3118252,7.7677193,-3.0898278,-4.620243,-5.197078,0.8233599,-7.6346154,40.515083,14.646008,11.805832,6.1723146,7.5342803,7.6069613,5.742765,6.436609,4.460656,5.420492,5.8812222,7.971264,5.6394124,0.13232173,0.2966589,0.64750856,0.28753117,0.17080943,0.21774197,0.21624584,0.6136457,0.2711711,0.25580016,0.3690686,0.17673673,0.11790916,0.19673188,0.35230395,0.16172078,0.19392987,0.23980932,0.13014098,0.37365124,0.13904828,0.19920391,0.33842847,0.13960522
st12-jangan_pernah_berubah,verse,Dm,vi,19.063582766,22.337596372,-192.4352,153.88191,-1.1941025,29.236235,25.70391,18.985163,0.46026826,4.4903865,-4.6248727,-9.916853,-3.8261259,1.5512873,-11.089138,106.05268,37.039555,14.772465,12.673453,18.251194,9.629015,6.6344314,5.6037807,6.055251,7.945123,4.309294,3.8567572,4.0521374,0.06815959,0.17288935,0.44707868,0.2636801,0.112742655,0.18382065,0.17095524,0.8022353,0.49871075,0.6043639,0.2840691,0.062846966,0.043862216,0.07864196,0.28083813,0.13014147,0.048207447,0.1992804,0.10382326,0.28492695,0.1250367,0.32455137,0.15236738,0.041684512
st12-jangan_pernah_berubah,verse,Am,iii,22.337596372,25.42585034,-391.63333,193.70134,-63.44421,25.48735,30.830776,-0.18829277,-7.4179487,-5.149715,-9.547762,-24.318876,-20.586409,-13.684355,-9.764123,45.91805,11.230309,22.983963,16.204226,8.797149,8.011431,6.3826776,5.7379165,5.8389363,5.5256515,7.698211,6.2468524,7.0079827,0.5073816,0.25586697,0.18660006,0.075046174,0.4807264,0.15400055,0.014406356,0.06641098,0.33102188,0.78573096,0.4506273,0.19500317,0.42266282,0.18929198,0.24003577,0.06041108,0.36906272,0.12042225,0.026370615,0.077165775,0.1376306,0.2517802,0.14172174,0.13842373
st12-jangan_pernah_berubah,verse,Gm,ii,25.42585034,28.653424036,-402.43414,186.48817,-73.43262,24.68966,29.512241,6.6856112,-11.001618,-7.443049,-10.654055,-21.092125,-18.019526,-15.028171,-18.39533,41.540016,17.252504,23.130074,14.340004,9.291478,7.186151,7.166108,7.3060775,7.7871513,6.9516726,5.675603,5.2533545,6.101937,0.04755786,0.21233109,0.71704257,0.1418763,0.063337624,0.13766433,0.21659434,0.52293265,0.28309646,0.42226854,0.22743031,0.14490917,0.050440315,0.10300175,0.3134325,0.0659778,0.073222324,0.14750029,0.14019263,0.41073835,0.20302635,0.33308196,0.20963493,0.117199264
st12-jangan_pernah_berubah,verse,Dm,vi,28.653424036,31.672018141,-387.45737,180.19632,-75.30859,27.372484,32.737038,1.9223229,-8.093155,-12.848855,-21.16038,-30.26228,-10.506869,-3.513004,-19.849226,39.689445,15.892926,20.643076,13.3992405,11.863245,7.273709,7.5013313,4.7861342,7.170536,7.1561556,6.3520923,4.544993,6.245941,0.035330143,0.13819316,0.60929567,0.1913991,0.14828524,0.67919415,0.14241624,0.02752965,0.26617578,0.76815087,0.2328092,0.026131969,0.029134499,0.06398822,0.3335424,0.12953307,0.063067876,0.29394087,0.06017108,0.025615163,0.13448119,0.27264914,0.13212475,0.023401523
